Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00001.312480,B4_33,0.054
,,00001.312800,B4_42,0.054
,,00001.313680,B6_33,0.107
,,00001.313760,B4_24,0.04
,,00001.314080,B4_43,0.184
,,00001.314400,B4_12,0.018
,,00001.314960,B4_33,0.062
,,00001.315040,B4_34,0.016
,,00001.316320,B4_24,0.046
,,00001.316400,B4_42,0.037
,,00001.316400,B4_43,0.183
,,00001.317280,B4_33,0.013
,,00001.318720,B4_24,0.038
,,00001.318720,B4_42,0.069
,,00001.318720,B4_44,0.012
,,00001.319920,B4_43,0.081
,,00001.320160,B4_33,0.014
,,00001.321280,B4_24,0.019
,,00001.321840,B4_42,0.047
,,00001.323040,B4_43,0.041
,,00001.324400,B4_42,0.014
,,00001.330080,B4_24,0.016
,,00001.331280,B4_12,0.016
,,00001.333120,B4_24,0.017
,,00001.335440,B4_24,0.018
,,00001.336000,B4_12,0.016
,,00001.336160,B4_42,0.015
,,00001.336480,B4_21,0.014
,,00001.337360,C2_11,0.126
,,00001.337680,B4_24,0.028
,,00001.338880,B4_21,0.016
,,00001.339200,B4_11,0.017
,,00001.340320,B4_24,0.048
,,00001.342160,B4_33,0.032
,,00001.342960,B4_24,0.042
,,00001.343360,B4_21,0.013
,,00001.343600,B4_43,0.02
,,00001.345200,B4_33,0.016
,,00001.345600,B4_24,0.039
,,00001.345760,B4_42,0.014
,,00001.346880,B4_21,0.016
,,00001.347760,B4_33,0.031
,,00001.348160,B4_24,0.024
,,00001.348720,B4_43,0.026
,,00001.350480,B4_33,0.041
,,00001.352880,B4_24,0.023
,,00001.352880,B4_33,0.01
,,00001.436240,B6_14,0.096
,,00001.438480,B6_14,0.009
,,00001.463680,B6_14,0.059
,,00001.466320,B6_14,0.05
,,00001.468320,B6_43,0.025
,,00001.473440,B6_33,0.032
,,00001.480080,B6_33,0.018
,,00001.489600,B6_44,0.043
,,00001.575360,D1_33,0.054
,,00001.577520,D1_34,0.032
,,00001.577600,D1_24,0.202
,,00001.577840,D1_33,0.049
,,00001.578000,D1_42,0.122
,,00001.579920,D1_24,0.33
,,00001.580480,D1_34,0.017
,,00001.580800,D1_33,0.035
,,00001.581360,D1_42,0.042
,,00001.582160,D1_24,0.199
,,00001.584480,D1_42,0.071
,,00001.585040,D1_24,0.059
,,00001.586480,D1_33,0.013
,,00001.587520,D1_24,0.026
,,00001.589840,D1_24,0.015
,,00001.604000,D1_42,0.028
,,00001.610720,D1_42,0.025
,,00001.612160,D1_43,0.016
,,00001.613120,D1_42,0.026
,,00001.616240,D1_42,0.04
,,00001.616320,D1_33,0.017
,,00001.619280,D1_42,0.032
,,00001.622240,D1_42,0.016
,,00001.622640,B6_44,0.082
,,00001.625040,D1_42,0.048
,,00001.627840,B6_44,0.028
,,00001.629360,D1_42,0.019
,,00001.630400,B3_43,0.033
,,00001.630400,B6_44,0.021
,,00001.632800,D1_42,0.024
,,00001.634240,B3_43,0.033
,,00001.637600,B3_44,0.033
,,00001.637680,B3_43,0.02
,,00001.638640,D1_42,0.038
,,00001.641440,D1_42,0.021
,,00001.641600,B3_43,0.047
,,00001.644880,D1_42,0.019
,,00001.646000,B6_44,0.063
,,00001.649440,B6_44,0.011
,,00001.652480,D1_42,0.017
,,00001.653840,D1_22,0.009
,,00001.655680,D1_33,0.016
,,00001.658800,D1_42,0.019
,,00001.665920,D1_42,0.029
,,00001.667040,B6_33,0.036
,,00001.667200,B3_43,0.019
,,00001.671360,B6_34,0.306
,,00001.671680,D1_42,0.017
,,00001.671840,B6_33,0.039
,,00001.672160,D1_33,0.022
,,00001.674000,B6_34,0.334
,,00001.674800,D1_24,0.013
,,00001.676080,B6_33,0.016
,,00001.676640,B6_34,0.025
,,00001.680080,B6_14,0.031
,,00001.682000,D1_33,0.014
,,00001.686080,D1_42,0.017
,,00001.690720,B1_33,0.025
,,00001.693120,D1_33,0.013
,,00001.693520,D1_42,0.02
,,00001.694240,D1_24,0.028
,,00001.699680,D1_42,0.019
,,00001.700240,D1_24,0.017
,,00001.702240,B6_33,0.019
,,00001.706720,D1_42,0.014
,,00001.707200,D1_24,0.025
,,00001.710720,D1_24,0.038
,,00001.711760,D1_42,0.013
,,00001.717040,B6_33,0.018
,,00001.728640,D1_34,0.017
,,00001.729280,D1_33,0.023
,,00001.730240,C2_11,0.124
,,00001.732480,C2_11,0.01
,,00001.734320,D1_24,0.022
,,00001.736160,D1_42,0.032
,,00001.736400,D1_33,0.014
,,00001.739040,D1_24,0.019
,,00001.742640,D1_24,0.019
,,00001.745120,D1_24,0.033
,,00001.747840,D1_24,0.029
,,00001.750560,D1_24,0.032
,,00001.753360,D1_24,0.053
,,00001.756320,D1_24,0.029
