Investigator,Maddy,Time (s),Electrode,Amplitude (mV)
,,00231.726000,C1_43,0.042
,,00231.726080,A6_32,0.017
,,00231.726320,A6_42,0.028
,,00231.726960,B6_14,0.308
,,00231.727040,A6_11,0.065
,,00231.728000,A6_31,0.02
,,00231.728320,A6_12,0.03
,,00231.728320,A6_32,0.015
,,00231.728400,A6_21,0.075
,,00231.728480,C1_43,0.041
,,00231.728560,A6_22,0.158
,,00231.729200,B6_14,0.101
,,00231.729280,C1_33,0.089
,,00231.729440,C1_34,0.011
,,00231.729520,A6_42,0.03
,,00231.730400,A6_11,0.025
,,00231.730640,A6_21,0.055
,,00231.730720,A6_12,0.016
,,00231.730720,A6_31,0.007
,,00231.731120,A6_44,0.019
,,00231.731520,A6_22,0.06
,,00231.731760,C1_33,0.09
,,00231.732160,A6_32,0.018
,,00231.732320,C1_23,0.048
,,00231.732560,C1_43,0.014
,,00231.733040,A6_12,0.02
,,00231.733040,A6_31,0.013
,,00231.733840,A6_42,0.033
,,00231.734080,A6_22,0.066
,,00231.734240,C1_33,0.116
,,00231.734480,A6_21,0.065
,,00231.734560,A6_11,0.026
,,00231.734640,C1_23,0.093
,,00231.735040,C1_43,0.044
,,00231.735680,B1_33,0.022
,,00231.735760,C1_34,0.011
,,00231.736320,A6_22,0.033
,,00231.736880,C1_33,0.071
,,00231.736960,C1_23,0.031
,,00231.737040,A6_21,0.046
,,00231.737360,A6_42,0.012
,,00231.737360,A6_43,0.016
,,00231.737760,A6_12,0.018
,,00231.738160,C1_43,0.02
,,00231.738560,A6_22,0.196
,,00231.739360,A6_21,0.064
,,00231.739760,A6_11,0.037
,,00231.740160,A6_43,0.013
,,00231.740320,C1_31,0.021
,,00231.740400,C1_23,0.04
,,00231.740480,C1_43,0.014
,,00231.740560,A6_42,0.016
,,00231.740560,C1_33,0.084
,,00231.741040,A6_22,0.04
,,00231.741600,A6_44,0.013
,,00231.741840,A6_12,0.018
,,00231.741920,A6_21,0.047
,,00231.742560,A6_43,0.035
,,00231.742880,A6_42,0.018
,,00231.742880,C1_33,0.089
,,00231.742960,C1_23,0.012
,,00231.743120,A6_11,0.013
,,00231.743280,C1_43,0.03
,,00231.743760,C1_12,0.012
,,00231.744000,A6_22,0.03
,,00231.744720,A6_21,0.027
,,00231.745120,A6_44,0.012
,,00231.745200,C1_23,0.03
,,00231.745600,A6_12,0.013
,,00231.745680,A6_32,0.015
,,00231.745760,A6_42,0.023
,,00231.746080,A6_11,0.049
,,00231.746400,C1_43,0.021
,,00231.746480,A6_22,0.029
,,00231.747520,A6_21,0.087
,,00231.747840,A6_12,0.017
,,00231.748640,C1_43,0.019
,,00231.748800,A6_31,0.012
,,00231.748800,A6_42,0.008
,,00231.749360,C1_11,0.013
,,00231.749760,A6_11,0.013
,,00231.749760,A6_22,0.072
,,00231.750000,A6_21,0.077
,,00231.750560,C1_33,0.017
,,00231.751680,A6_12,0.015
,,00231.751680,C1_43,0.064
,,00231.751920,A6_42,0.028
,,00231.752240,A6_21,0.058
,,00231.752560,A6_11,0.051
,,00231.753040,A6_43,0.028
,,00231.753200,A6_22,0.054
,,00231.754480,A6_21,0.04
,,00231.754800,C1_43,0.045
,,00231.755600,A6_11,0.014
,,00231.755680,A6_22,0.032
,,00231.755680,A6_43,0.016
,,00231.756000,A6_42,0.026
,,00231.756800,A6_21,0.064
,,00231.757360,C1_43,0.037
,,00231.758000,A6_22,0.032
,,00231.759040,C1_33,0.02
,,00231.759440,A6_42,0.011
,,00231.759600,A6_21,0.094
,,00231.760000,C1_43,0.025
,,00231.760320,A6_22,0.037
,,00231.760640,A6_12,0.012
,,00231.761920,A6_21,0.065
,,00231.762400,A6_11,0.055
,,00231.762640,A6_22,0.023
,,00231.762720,C1_43,0.011
,,00231.762960,A6_12,0.022
,,00231.764880,A6_21,0.068
,,00231.765120,B5_13,0.024
,,00231.765600,A6_22,0.035
,,00231.767280,A6_21,0.087
,,00231.767840,A6_12,0.023
,,00231.767920,A6_22,0.232
,,00231.769200,A6_11,0.021
,,00231.769440,A6_42,0.041
,,00231.769840,A6_21,0.179
,,00231.770320,A6_22,0.095
,,00231.770320,A6_31,0.013
,,00231.770480,A6_12,0.013
,,00231.771440,A6_11,0.074
,,00231.772480,A6_21,0.119
,,00231.772800,A6_31,0.022
,,00231.773040,A6_32,0.018
,,00231.773040,A6_43,0.023
,,00231.773200,A6_22,0.236
,,00231.773520,A6_42,0.023
,,00231.774000,A6_12,0.044
,,00231.774480,A6_11,0.041
,,00231.775280,B6_43,0.022
,,00231.775360,A6_32,0.024
,,00231.775600,A6_31,0.021
,,00231.775840,A6_22,0.204
,,00231.776080,A6_42,0.02
,,00231.776720,A6_21,0.138
,,00231.776960,A6_12,0.03
,,00231.778000,A6_32,0.023
,,00231.778080,A6_22,0.233
,,00231.778160,A6_31,0.021
,,00231.778400,A6_11,0.042
,,00231.779200,A6_12,0.027
,,00231.779680,A6_21,0.131
,,00231.780800,A6_43,0.028
,,00231.780880,A6_11,0.02
,,00231.781360,A6_32,0.011
,,00231.781360,B6_33,0.1
,,00231.782160,A6_21,0.077
,,00231.782240,A6_12,0.031
,,00231.782320,A6_22,0.061
,,00231.783120,A6_11,0.03
,,00231.783200,A6_42,0.027
,,00231.783680,A6_44,0.014
,,00231.783840,A6_31,0.015
,,00231.784560,A6_21,0.047
,,00231.784800,A6_22,0.084
,,00231.785920,A6_11,0.021
,,00231.786480,A6_12,0.03
,,00231.787040,A6_22,0.107
,,00231.787120,A6_32,0.012
,,00231.787360,A6_21,0.033
,,00231.788480,A6_11,0.024
,,00231.789120,A6_43,0.017
,,00231.790400,A6_21,0.036
,,00231.790560,A6_22,0.033
,,00231.790640,A6_44,0.011
,,00231.790800,B6_33,0.018
,,00231.792880,A6_12,0.024
,,00231.792960,A6_22,0.055
,,00231.793040,A6_21,0.026
,,00231.794000,A6_11,0.016
,,00231.795120,A6_32,0.019
,,00231.795280,A6_22,0.024
,,00231.795360,A6_12,0.017
,,00231.795360,A6_21,0.059
,,00231.796560,A6_11,0.016
,,00231.797600,A6_22,0.038
,,00231.798960,A6_21,0.024
,,00231.800640,A6_22,0.018
,,00231.802560,A6_21,0.022
,,00231.803440,A6_22,0.024
,,00231.805920,A6_22,0.015
,,00231.824000,B6_14,0.023
,,00231.840800,D3_21,0.035
,,00231.841200,D3_33,0.013
,,00231.842960,D3_23,0.018
,,00231.864400,D3_32,0.014
,,00231.865040,D3_44,0.014
,,00231.872960,D3_32,0.015
,,00231.885280,D3_44,0.011
,,00231.908480,B1_33,0.02
,,00231.908480,D3_44,0.014
,,00231.913040,D3_32,0.014
,,00231.919600,D3_44,0.01
,,00231.928320,D3_33,0.009
,,00231.944320,B6_43,0.022
,,00231.944400,B6_44,0.015
,,00231.951600,B6_33,0.085
,,00231.954480,B6_33,0.02
,,00231.973120,D3_33,0.029
,,00231.973760,D3_23,0.013
,,00231.973920,D3_34,0.019
,,00231.976320,D3_33,0.027
,,00231.976640,D3_34,0.027
,,00231.977040,D3_32,0.018
,,00231.977280,D3_23,0.018
,,00231.978240,D3_21,0.029
,,00231.978640,B6_33,0.019
,,00231.979360,D3_32,0.017
,,00231.979680,D3_23,0.012
,,00231.979680,D3_34,0.023
,,00231.979760,D3_33,0.019
,,00231.980480,D3_21,0.019
,,00231.982000,D3_23,0.016
,,00231.982960,D3_21,0.109
,,00231.983280,D3_33,0.016
,,00231.985440,D3_21,0.052
,,00231.985680,D3_33,0.014
,,00231.986400,D3_34,0.016
,,00231.988080,D3_33,0.016
,,00231.989520,A2_34,0.03
,,00231.990080,D3_21,0.015
,,00231.990480,D3_33,0.013
,,00231.992960,D3_33,0.012
,,00231.993040,D3_34,0.019
,,00231.995440,D3_33,0.016
,,00231.997840,D3_33,0.022
,,00231.999040,A2_43,0.03
,,00231.999120,A2_33,0.023
,,00231.999280,D3_34,0.024
,,00232.000480,D3_33,0.016
,,00232.000560,A2_44,0.055
,,00232.000880,A2_34,0.059
,,00232.001440,A2_43,0.018
,,00232.001920,A2_33,0.035
,,00232.002560,A2_42,0.013
,,00232.002800,A2_44,0.01
,,00232.003200,A2_34,0.074
,,00232.003280,D3_33,0.023
,,00232.003680,A2_32,0.022
,,00232.004800,A2_21,0.04
,,00232.005200,A2_33,0.033
,,00232.005920,A2_24,0.013
,,00232.006080,A2_14,0.016
,,00232.006080,A2_34,0.028
,,00232.006400,A2_32,0.027
,,00232.006880,A2_11,0.026
,,00232.007120,A2_44,0.012
,,00232.007520,D3_33,0.018
,,00232.007680,A2_21,0.045
,,00232.007840,A2_33,0.044
,,00232.008560,A2_14,0.024
,,00232.008960,A2_13,0.034
,,00232.008960,A2_32,0.015
,,00232.009120,A2_34,0.021
,,00232.009280,A2_11,0.03
,,00232.009840,A2_24,0.012
,,00232.010160,D3_33,0.02
,,00232.010480,A2_33,0.015
,,00232.010720,A2_21,0.018
,,00232.010960,A2_14,0.045
,,00232.010960,D3_34,0.019
,,00232.011200,A2_32,0.013
,,00232.011280,A2_13,0.048
,,00232.011840,A2_11,0.013
,,00232.012400,A2_34,0.018
,,00232.012960,A2_33,0.025
,,00232.013440,D3_33,0.018
,,00232.013600,A2_21,0.019
,,00232.014720,A2_14,0.012
,,00232.015360,A2_11,0.03
,,00232.016080,D3_21,0.018
,,00232.016240,A2_33,0.016
,,00232.016320,D3_33,0.021
,,00232.017040,A2_21,0.015
,,00232.018800,D3_34,0.018
,,00232.018960,D3_21,0.132
,,00232.019280,A2_34,0.017
,,00232.021600,D3_23,0.018
,,00232.021680,D3_21,0.042
,,00232.023040,D3_33,0.026
,,00232.024000,D3_21,0.053
,,00232.026640,D3_23,0.013
,,00232.027280,D3_33,0.018
,,00232.027600,D3_34,0.015
,,00232.028080,D3_32,0.024
,,00232.028640,D3_21,0.102
,,00232.030560,D3_32,0.023
,,00232.030560,D3_33,0.019
,,00232.030880,D3_21,0.037
,,00232.032960,D3_34,0.016
,,00232.033200,D3_21,0.117
,,00232.035360,D3_23,0.022
,,00232.035520,D3_21,0.034
,,00232.038480,D3_21,0.038
,,00232.040720,D3_21,0.07
,,00232.043600,A2_34,0.021
,,00232.044720,D3_21,0.019
,,00232.050560,B6_14,0.11
,,00232.053360,B6_14,0.014
,,00232.076400,A3_12,0.014
,,00232.076640,A3_11,0.021
,,00232.079520,A3_14,0.013
,,00232.081120,A3_22,0.013
,,00232.081680,A3_13,0.022
,,00232.081760,A3_14,0.035
,,00232.082720,A3_24,0.015
,,00232.084320,A3_14,0.027
,,00232.085600,A3_34,0.019
,,00232.085760,A3_12,0.014
,,00232.085840,A3_13,0.022
,,00232.086240,A3_24,0.013
,,00232.086720,A3_14,0.024
,,00232.088160,A3_22,0.018
,,00232.088560,A3_43,0.057
,,00232.088640,A3_44,0.026
,,00232.089040,A3_24,0.03
,,00232.089280,A3_34,0.019
,,00232.089760,A3_13,0.048
,,00232.090240,A3_14,0.026
,,00232.091120,A3_43,0.039
,,00232.091680,A3_24,0.026
,,00232.092960,A3_34,0.019
,,00232.093360,A3_14,0.019
,,00232.093840,A3_13,0.113
,,00232.094320,A3_43,0.041
,,00232.094480,A3_24,0.021
,,00232.096400,A3_22,0.025
,,00232.096560,A3_23,0.013
,,00232.096560,A3_34,0.016
,,00232.096800,A3_24,0.022
,,00232.097120,A3_14,0.015
,,00232.097520,A3_44,0.027
,,00232.098480,A3_13,0.104
,,00232.099280,A3_43,0.033
,,00232.099360,A3_34,0.023
,,00232.099600,A3_24,0.133
,,00232.099920,A3_14,0.024
,,00232.100880,A3_44,0.015
,,00232.101200,A3_13,0.031
,,00232.101200,A3_41,0.01
,,00232.101360,A3_32,0.014
,,00232.101680,A3_12,0.013
,,00232.102000,A3_24,0.063
,,00232.102320,A3_14,0.026
,,00232.102720,A3_34,0.018
,,00232.103280,A3_43,0.032
,,00232.104000,A3_13,0.167
,,00232.104800,A3_24,0.056
,,00232.105120,A3_23,0.013
,,00232.105360,A3_14,0.011
,,00232.106080,A3_44,0.038
,,00232.106560,A3_13,0.137
,,00232.106640,A3_12,0.012
,,00232.106640,A3_43,0.029
,,00232.106880,A3_34,0.025
,,00232.107360,A3_24,0.078
,,00232.107920,A3_14,0.038
,,00232.108800,A3_44,0.046
,,00232.108960,A3_22,0.018
,,00232.108960,A3_43,0.037
,,00232.109040,A3_13,0.181
,,00232.109440,A3_34,0.036
,,00232.109520,A3_23,0.024
,,00232.109760,A3_41,0.009
,,00232.110000,A3_31,0.012
,,00232.110320,A3_24,0.15
,,00232.110480,A3_14,0.08
,,00232.111120,A3_44,0.098
,,00232.111200,A3_43,0.032
,,00232.111760,A3_12,0.02
,,00232.111760,A3_13,0.122
,,00232.111840,A3_33,0.011
,,00232.112240,A3_34,0.033
,,00232.112320,A3_41,0.019
,,00232.112400,A3_32,0.026
,,00232.112640,A3_22,0.02
,,00232.112960,A3_23,0.042
,,00232.113280,A3_14,0.078
,,00232.113600,A3_24,0.113
,,00232.113600,A3_44,0.036
,,00232.114080,A3_13,0.128
,,00232.114240,A3_31,0.016
,,00232.114320,A3_43,0.033
,,00232.114720,A3_34,0.029
,,00232.114800,B6_44,0.075
,,00232.114960,A3_41,0.01
,,00232.115120,A3_22,0.045
,,00232.115200,A3_32,0.023
,,00232.116080,A3_14,0.032
,,00232.116080,A3_44,0.095
,,00232.116160,A3_23,0.012
,,00232.116560,A3_31,0.02
,,00232.116800,A3_12,0.055
,,00232.116800,A3_24,0.133
,,00232.117040,A3_13,0.049
,,00232.117040,A3_43,0.055
,,00232.117120,A3_21,0.036
,,00232.117520,A3_22,0.033
,,00232.117760,A3_33,0.016
,,00232.118000,A3_41,0.016
,,00232.118080,A3_34,0.018
,,00232.118080,B6_44,0.027
,,00232.118320,A3_11,0.036
,,00232.118720,A3_32,0.039
,,00232.118720,A3_44,0.039
,,00232.118800,A3_14,0.028
,,00232.118800,A3_31,0.022
,,00232.119200,A3_23,0.019
,,00232.119440,A3_13,0.048
,,00232.119440,A3_43,0.032
,,00232.119840,A3_12,0.034
,,00232.119840,A3_24,0.068
,,00232.120240,A3_22,0.047
,,00232.120560,A3_11,0.026
,,00232.120720,A3_41,0.014
,,00232.120800,A3_21,0.027
,,00232.121040,A3_44,0.066
,,00232.121680,A3_31,0.023
,,00232.121760,A3_14,0.035
,,00232.121920,A3_43,0.029
,,00232.122000,A3_34,0.02
,,00232.122080,A3_13,0.048
,,00232.122240,A3_32,0.015
,,00232.122720,A3_12,0.009
,,00232.123040,A3_11,0.031
,,00232.123120,A3_41,0.012
,,00232.123360,A3_21,0.016
,,00232.123840,A3_24,0.069
,,00232.123920,A3_23,0.012
,,00232.123920,A3_44,0.043
,,00232.124080,A3_14,0.034
,,00232.124080,A3_22,0.054
,,00232.124080,A3_31,0.015
,,00232.124320,A3_43,0.022
,,00232.124720,A3_13,0.034
,,00232.124960,A3_12,0.017
,,00232.125200,A3_32,0.016
,,00232.125520,A3_34,0.02
,,00232.125920,A3_21,0.015
,,00232.126240,A3_44,0.024
,,00232.126320,A3_14,0.03
,,00232.126400,A3_24,0.066
,,00232.126560,A3_43,0.031
,,00232.127360,A3_13,0.032
,,00232.127360,A3_22,0.025
,,00232.127760,A3_32,0.014
,,00232.128080,A3_34,0.012
,,00232.128560,A3_21,0.016
,,00232.128720,A3_24,0.055
,,00232.128880,A3_14,0.026
,,00232.128880,A3_44,0.025
,,00232.129200,A3_11,0.015
,,00232.129440,A3_43,0.025
,,00232.130240,A3_22,0.036
,,00232.130320,A3_13,0.034
,,00232.130480,A3_32,0.015
,,00232.131040,A3_34,0.009
,,00232.131200,A3_21,0.026
,,00232.131280,A3_24,0.153
,,00232.131440,A3_14,0.029
,,00232.131600,A3_44,0.039
,,00232.132400,A3_11,0.034
,,00232.132480,A3_43,0.03
,,00232.133040,A3_22,0.017
,,00232.133280,A3_13,0.04
,,00232.134000,A3_34,0.024
,,00232.134080,A3_44,0.05
,,00232.134160,A3_14,0.04
,,00232.134160,A3_23,0.013
,,00232.134240,A3_32,0.029
,,00232.134400,A3_24,0.03
,,00232.134480,A3_21,0.014
,,00232.135040,A3_43,0.035
,,00232.135680,A3_13,0.027
,,00232.135680,A3_22,0.022
,,00232.136560,A3_44,0.038
,,00232.136800,A3_24,0.159
,,00232.136880,A3_14,0.023
,,00232.137040,A3_31,0.016
,,00232.137360,A3_32,0.02
,,00232.137440,A3_43,0.033
,,00232.138000,A3_21,0.013
,,00232.138880,A3_12,0.018
,,00232.139040,A3_22,0.016
,,00232.139040,A3_24,0.06
,,00232.139120,A3_13,0.032
,,00232.139120,A3_44,0.084
,,00232.139440,A3_14,0.029
,,00232.139680,A3_32,0.025
,,00232.140000,A3_43,0.026
,,00232.140480,A3_21,0.014
,,00232.141280,A3_24,0.013
,,00232.141760,A3_22,0.011
,,00232.141760,A3_44,0.028
,,00232.141840,A3_11,0.021
,,00232.141840,A3_14,0.03
,,00232.141920,A3_32,0.019
,,00232.142000,A3_13,0.02
,,00232.142320,D1_31,0.046
,,00232.142480,D1_21,0.351
,,00232.143760,A3_24,0.091
,,00232.143840,A3_43,0.019
,,00232.144320,A3_14,0.032
,,00232.144320,A3_41,0.011
,,00232.144640,A3_11,0.019
,,00232.144800,A3_44,0.028
,,00232.144960,A3_13,0.015
,,00232.144960,D1_21,0.02
,,00232.146480,A3_43,0.049
,,00232.146560,A3_14,0.029
,,00232.146800,A3_22,0.016
,,00232.146960,A3_24,0.045
,,00232.147040,A3_44,0.031
,,00232.147360,A3_13,0.043
,,00232.148240,D1_21,0.009
,,00232.149200,A3_43,0.023
,,00232.149280,A3_24,0.03
,,00232.149440,A3_12,0.018
,,00232.149600,A3_22,0.065
,,00232.149840,A3_11,0.03
,,00232.149840,A3_44,0.038
,,00232.150160,A3_21,0.013
,,00232.150560,A3_14,0.034
,,00232.150640,A3_34,0.021
,,00232.150800,C2_11,0.125
,,00232.150960,A3_13,0.029
,,00232.151280,A3_32,0.019
,,00232.151600,A3_24,0.04
,,00232.151920,A3_22,0.016
,,00232.152080,A3_44,0.055
,,00232.152160,A3_43,0.022
,,00232.152880,A3_11,0.021
,,00232.152960,A3_14,0.024
,,00232.153120,A3_12,0.024
,,00232.153440,A3_13,0.028
,,00232.153440,A3_34,0.018
,,00232.153520,A3_21,0.028
,,00232.153680,A3_41,0.01
,,00232.153920,A3_24,0.059
,,00232.153920,A3_31,0.014
,,00232.154400,A3_43,0.052
,,00232.154560,A3_22,0.015
,,00232.154880,A3_32,0.019
,,00232.154880,A3_44,0.038
,,00232.155280,A3_14,0.032
,,00232.155360,A3_12,0.015
,,00232.155520,A3_11,0.019
,,00232.156240,A3_13,0.04
,,00232.156320,A3_21,0.018
,,00232.156400,A3_24,0.041
,,00232.157040,A3_22,0.045
,,00232.157120,A3_43,0.052
,,00232.157520,A3_44,0.081
,,00232.157600,A3_32,0.026
,,00232.157760,A3_12,0.03
,,00232.157920,A3_31,0.018
,,00232.158240,A3_14,0.026
,,00232.158480,A3_34,0.015
,,00232.158640,A3_24,0.062
,,00232.158800,A3_21,0.028
,,00232.158960,A3_13,0.024
,,00232.159120,A3_23,0.011
,,00232.159600,A3_11,0.019
,,00232.160160,A3_43,0.034
,,00232.160240,A3_22,0.019
,,00232.160240,A3_31,0.016
,,00232.160400,A3_44,0.036
,,00232.160480,A3_32,0.035
,,00232.161200,A3_14,0.025
,,00232.161440,A3_24,0.03
,,00232.161600,A3_21,0.008
,,00232.162400,A3_13,0.025
,,00232.162400,A3_43,0.092
,,00232.163040,A3_22,0.041
,,00232.163040,A3_44,0.053
,,00232.163360,A3_32,0.016
,,00232.163840,A3_14,0.015
,,00232.164080,A3_24,0.026
,,00232.165120,A3_13,0.016
,,00232.165280,A3_44,0.019
,,00232.165360,A3_43,0.069
,,00232.166000,A3_11,0.014
,,00232.166160,A3_14,0.015
,,00232.166160,A3_22,0.016
,,00232.166880,A3_24,0.017
,,00232.167440,A3_13,0.027
,,00232.167600,A3_43,0.036
,,00232.167840,A3_21,0.035
,,00232.167840,A3_44,0.042
,,00232.168080,A3_32,0.02
,,00232.168560,A3_31,0.018
,,00232.169120,A3_11,0.025
,,00232.169120,A3_22,0.038
,,00232.169280,A3_24,0.044
,,00232.170000,A3_14,0.02
,,00232.170320,A3_43,0.02
,,00232.170480,A3_32,0.011
,,00232.170800,A3_44,0.058
,,00232.170880,A3_12,0.016
,,00232.171920,A3_22,0.014
,,00232.171920,A3_24,0.033
,,00232.173200,A3_44,0.02
,,00232.173520,A3_13,0.013
,,00232.173840,A3_14,0.017
,,00232.174400,A3_22,0.028
,,00232.174720,A3_24,0.032
,,00232.175200,A3_43,0.02
,,00232.175520,A3_32,0.013
,,00232.175600,A3_44,0.026
,,00232.175840,A3_12,0.027
,,00232.175840,A3_13,0.012
,,00232.176080,A3_11,0.024
,,00232.176240,A3_14,0.018
,,00232.177440,A3_21,0.014
,,00232.177760,A3_24,0.037
,,00232.178400,A3_13,0.025
,,00232.178480,A3_44,0.024
,,00232.178640,A3_43,0.032
,,00232.178720,A3_11,0.028
,,00232.179520,A3_22,0.021
,,00232.179600,A3_14,0.028
,,00232.179760,A3_12,0.015
,,00232.180720,A3_13,0.039
,,00232.180880,A3_43,0.042
,,00232.180960,A3_44,0.065
,,00232.181040,A3_24,0.033
,,00232.181920,A3_22,0.038
,,00232.182000,A3_32,0.017
,,00232.182560,A3_11,0.028
,,00232.182800,A3_31,0.013
,,00232.183120,A3_13,0.024
,,00232.183120,A3_43,0.115
,,00232.183200,A3_14,0.019
,,00232.183440,A3_34,0.018
,,00232.183440,A3_44,0.038
,,00232.184240,A3_22,0.02
,,00232.184240,A3_24,0.062
,,00232.184720,A3_32,0.02
,,00232.184800,A3_12,0.056
,,00232.185440,A3_43,0.049
,,00232.185520,A3_14,0.029
,,00232.185760,A3_13,0.045
,,00232.185840,A3_21,0.019
,,00232.186000,A3_41,0.013
,,00232.186000,A3_44,0.08
,,00232.186480,A3_11,0.029
,,00232.187120,A3_22,0.031
,,00232.187760,A3_12,0.024
,,00232.187840,A3_31,0.02
,,00232.187840,A3_32,0.015
,,00232.187920,A3_34,0.014
,,00232.188080,A3_24,0.037
,,00232.188320,A3_44,0.065
,,00232.188400,A3_14,0.026
,,00232.188400,A3_43,0.046
,,00232.188480,A3_13,0.029
,,00232.189360,A3_21,0.015
,,00232.189520,A3_11,0.025
,,00232.189760,A3_22,0.026
,,00232.189920,B6_14,0.032
,,00232.190560,A3_12,0.055
,,00232.190800,A3_44,0.053
,,00232.191040,A3_13,0.033
,,00232.191040,A3_43,0.077
,,00232.191120,A3_24,0.017
,,00232.191120,A3_32,0.019
,,00232.192720,A3_22,0.016
,,00232.192800,A3_11,0.02
,,00232.192880,A3_21,0.018
,,00232.192960,A3_31,0.012
,,00232.193120,A3_14,0.035
,,00232.193200,A3_44,0.048
,,00232.193440,A3_12,0.034
,,00232.193520,A3_32,0.017
,,00232.194080,A3_24,0.027
,,00232.194400,A3_43,0.024
,,00232.194720,A3_13,0.03
,,00232.195200,A3_31,0.01
,,00232.195440,A3_11,0.017
,,00232.195520,A3_22,0.017
,,00232.195680,A3_12,0.013
,,00232.195840,A3_44,0.055
,,00232.196400,A3_14,0.026
,,00232.196720,A3_21,0.026
,,00232.197040,A3_13,0.021
,,00232.198640,A3_14,0.017
,,00232.199200,A3_21,0.014
,,00232.199440,A3_11,0.026
,,00232.199680,A3_13,0.02
,,00232.200240,A3_31,0.02
,,00232.200400,A3_22,0.014
,,00232.201040,A3_43,0.022
,,00232.201520,A3_14,0.033
,,00232.201600,A3_24,0.053
,,00232.202000,A3_11,0.023
,,00232.202400,A3_13,0.013
,,00232.202400,A3_21,0.021
,,00232.203520,A3_43,0.018
,,00232.203520,A3_44,0.021
,,00232.203600,A3_22,0.018
,,00232.203840,A3_14,0.029
,,00232.203920,A3_24,0.056
,,00232.204480,A3_31,0.012
,,00232.205120,A3_13,0.019
,,00232.206880,A3_44,0.023
,,00232.207120,A3_14,0.015
,,00232.208560,A3_43,0.016
,,00232.209440,A3_44,0.024
,,00232.209600,A3_24,0.034
,,00232.211120,B1_33,0.016
,,00232.211280,A3_14,0.023
,,00232.211920,A3_24,0.042
,,00232.212640,A3_43,0.015
,,00232.213440,B1_33,0.039
,,00232.213520,A3_14,0.022
,,00232.213680,B1_32,0.018
,,00232.214160,A3_44,0.023
,,00232.214560,A3_24,0.028
,,00232.215680,B1_33,0.084
,,00232.216080,B1_32,0.054
,,00232.216160,A3_43,0.012
,,00232.216800,A3_14,0.013
,,00232.216800,A3_44,0.019
,,00232.216880,B1_34,0.023
,,00232.218240,B1_33,0.179
,,00232.218480,B1_32,0.036
,,00232.219120,B1_34,0.014
,,00232.219120,B1_42,0.014
,,00232.219280,A3_24,0.023
,,00232.219520,A3_44,0.018
,,00232.220000,A3_43,0.014
,,00232.220080,A3_13,0.084
,,00232.220160,A3_14,0.017
,,00232.220640,B1_33,0.12
,,00232.220880,B1_32,0.02
,,00232.222080,A3_44,0.029
,,00232.223120,B1_32,0.051
,,00232.223200,B1_33,0.031
,,00232.223280,A3_24,0.031
,,00232.224080,A3_13,0.097
,,00232.224480,A3_14,0.028
,,00232.224720,A3_34,0.015
,,00232.224720,A3_43,0.026
,,00232.225520,A3_44,0.066
,,00232.226080,A3_24,0.019
,,00232.226400,B1_33,0.011
,,00232.226480,A3_13,0.092
,,00232.227040,A3_14,0.024
,,00232.227200,A3_23,0.014
,,00232.227200,A3_43,0.033
,,00232.227520,A3_34,0.02
,,00232.228080,A3_12,0.017
,,00232.228400,A3_22,0.024
,,00232.228720,A3_13,0.024
,,00232.228880,A3_44,0.086
,,00232.229120,A3_24,0.183
,,00232.229440,A3_14,0.077
,,00232.229440,A3_43,0.126
,,00232.230560,A3_32,0.023
,,00232.230640,A3_12,0.037
,,00232.230960,A3_22,0.041
,,00232.231440,A3_24,0.055
,,00232.231840,A3_13,0.032
,,00232.231920,A3_44,0.092
,,00232.232000,A3_14,0.02
,,00232.232000,A3_34,0.017
,,00232.232000,A3_43,0.036
,,00232.232800,A3_31,0.021
,,00232.233040,A3_32,0.023
,,00232.233520,A3_22,0.028
,,00232.233680,A3_12,0.023
,,00232.234240,A3_14,0.035
,,00232.234320,A3_13,0.034
,,00232.234560,A3_24,0.094
,,00232.234640,A3_43,0.023
,,00232.234800,A3_23,0.014
,,00232.234880,A3_44,0.022
,,00232.235600,B6_14,0.031
,,00232.235760,A3_21,0.034
,,00232.235760,A3_22,0.027
,,00232.235840,A3_11,0.021
,,00232.236240,A3_12,0.032
,,00232.236560,A3_14,0.03
,,00232.236560,A3_32,0.017
,,00232.236800,A3_13,0.028
,,00232.237040,A3_43,0.123
,,00232.237280,A3_24,0.022
,,00232.237280,A3_44,0.03
,,00232.238080,A3_11,0.022
,,00232.238080,A3_22,0.022
,,00232.238400,A3_31,0.013
,,00232.239200,A3_21,0.013
,,00232.239200,A3_32,0.021
,,00232.239280,A3_12,0.023
,,00232.239600,A3_43,0.064
,,00232.239680,A3_44,0.05
,,00232.239760,A3_14,0.015
,,00232.240160,A3_24,0.013
,,00232.240640,A3_22,0.009
,,00232.241520,A3_13,0.021
,,00232.241520,A3_32,0.014
,,00232.241920,B6_33,0.033
,,00232.242160,A3_43,0.051
,,00232.242240,A3_44,0.045
,,00232.242640,A3_12,0.019
,,00232.242640,A3_24,0.024
,,00232.242880,A3_22,0.015
,,00232.243200,A3_31,0.022
,,00232.243600,A3_11,0.016
,,00232.243840,A3_32,0.015
,,00232.244400,A3_21,0.032
,,00232.244640,A3_13,0.028
,,00232.245280,A3_43,0.045
,,00232.245440,A3_22,0.022
,,00232.245840,A3_24,0.027
,,00232.246080,A3_44,0.028
,,00232.246560,A3_23,0.013
,,00232.246560,A3_32,0.013
