AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-30min(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
    Full Width at Half Height of Cross-Correlation, , , , , , , , , , ,32.000000,9.000000,92.000000,13.000000,17.000000, , , ,21.000000, ,14.000000, , , 
    Synchrony Index,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316160,0.245380,0.695956,0.554554,0.187351,0.000000,0.000000,0.000000,0.035259,0.000000,0.287194,0.000000,0.000000,0.000000
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode, , , , , , , , , , ,21.000000,42.000000,43.000000, , , , , , , ,44.000000, , , 
    Percent Bursts with Start Electrode, , , , , , , , , , ,100.000000,50.000000,62.500000, , , , , , , ,100.000000, , , 
    Burst Peak (Max Spikes per sec), , , , , , , , , , ,1333.333333,2000.000000,4125.000000, , , , , , , ,3000.000000, , , 
    Time to Burst Peak (ms), , , , , , , , , , ,63.500000,1.500000,26.500000, , , , , , , ,12.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),24.379320,25.820777,25.350132,12.226900,13.656842,19.178851,18.712142,14.179869,32.596225,24.866441,16.439291,25.048740,22.445758,18.381862,16.041533,17.531697,15.552781,14.722593,20.756968,6.107660,19.422886,18.414096,13.682443,12.725298
    Resistance - Std (kOhms),11.030405,10.757625,9.042792,5.194560,6.696876,10.873816,11.184678,6.280549,10.648500,10.077039,7.159773,13.051324,9.117203,9.643210,6.845670,8.186135,8.639256,7.729335,10.372080,0.253891,8.656175,9.990124,6.522805,5.116390
    Number of Covered Electrodes,9.000000,11.000000,10.000000,1.000000,2.000000,6.000000,4.000000,3.000000,14.000000,11.000000,4.000000,8.000000,10.000000,5.000000,3.000000,3.000000,4.000000,4.000000,8.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Weighted Mean Resistance (kOhms),31.050889,30.691941,28.892197,29.009423,27.783889,30.715935,31.834811,25.285955,34.129556,28.818552,26.207531,34.844227,26.906513,27.560242,27.855955,30.671197,27.834815,25.505914,28.774911, ,27.011211,30.592839,24.614992,29.756814

