Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,10815.850480,D1_21,15,0.0628
,,10815.838400,D1_31,16,0.07704
,,10815.847520,D1_42,13,0.06136
,,10815.907360,A5_14,5,0.10256
,,10815.916160,A5_13,17,0.10312
,,10815.910080,A5_21,18,0.10056
,,10815.909120,A5_41,5,0.10928
,,10816.862160,C4_12,5,0.0812
,,10816.843200,C4_11,21,0.0876
,,10816.860560,C4_21,25,0.1416
,,10816.853600,C4_31,11,0.13856
,,10817.326880,A2_33,6,0.01752
,,10817.328400,A2_34,6,0.07456
,,10817.637520,D1_42,13,0.04608
,,10818.170640,D6_44,42,0.14224
,,10818.425200,D6_44,66,0.38768
,,10819.137120,B6_44,5,0.01744
,,10819.858720,A6_21,7,0.01872
,,10819.856880,A6_22,7,0.018
,,10819.725200,D1_21,42,0.30216
,,10819.726160,D1_31,46,0.30688
,,10819.745680,D1_22,6,0.28392
,,10819.734240,D1_42,30,0.30664
,,10820.142880,D1_21,7,0.0188
,,10820.143120,D1_31,7,0.01712
,,10820.362800,D1_21,21,0.18776
,,10820.351520,D1_31,19,0.1968
,,10820.379360,D1_42,17,0.17048
,,10820.486080,B6_12,6,0.11024
,,10820.487520,B6_11,18,0.12216
,,10820.594800,B6_33,8,0.0304
,,10820.485360,B6_23,17,0.13952
,,10820.596000,B6_34,8,0.02672
,,10820.736960,D1_21,11,0.09744
,,10820.755360,D1_31,12,0.0792
,,10820.752960,D1_42,10,0.06296
,,10820.746400,B1_33,5,0.0984
,,10820.577360,C2_34,9,0.12832
,,10820.486480,B6_14,25,0.24872
,,10820.598320,B6_44,14,0.05616
,,10821.819360,B4_43,6,0.01976
,,10822.013680,A3_41,6,0.01496
,,10822.019440,A3_21,25,0.11528
,,10822.012640,A3_31,17,0.11616
,,10821.972400,A3_11,22,0.15864
,,10821.974880,A3_12,29,0.15296
,,10821.977280,A3_13,50,0.16664
,,10821.997440,A3_23,11,0.13104
,,10821.975200,A3_14,48,0.15736
,,10821.984560,A3_24,48,0.15184
,,10821.983440,A3_34,27,0.15064
,,10821.996080,A3_32,26,0.13656
,,10822.266080,D1_24,19,0.12336
,,10821.986640,A3_44,52,0.16496
,,10821.982320,A3_43,51,0.17088
,,10822.243280,B4_33,13,0.03912
,,10822.239520,B4_34,12,0.03376
,,10822.241120,B4_24,18,0.07112
,,10822.243440,B4_42,11,0.0572
,,10822.239840,B4_43,14,0.04064
,,10822.240080,B4_44,9,0.03296
,,10822.242880,B4_21,9,0.0664
,,10822.302880,C4_12,6,0.08928
,,10822.329040,D1_33,9,0.11616
,,10822.592400,B3_43,5,0.02648
,,10822.287680,C4_11,28,0.16664
,,10822.301680,C4_21,23,0.16608
,,10822.590080,C4_21,7,0.0224
,,10822.302720,C4_31,13,0.15496
,,10822.355040,D1_21,45,0.34096
,,10822.348320,D1_31,43,0.33824
,,10822.534240,D1_24,45,0.36536
,,10822.331680,D1_42,55,0.36064
,,10822.653120,B6_44,7,0.01976
,,10823.038480,A2_21,14,0.04568
,,10823.041120,A2_11,12,0.03064
,,10823.048480,A2_13,6,0.02504
,,10823.045600,A2_14,16,0.05544
,,10823.038640,A2_33,20,0.05816
,,10823.048480,A2_24,7,0.0336
,,10823.033360,A2_34,23,0.0704
,,10823.038880,A2_32,12,0.03848
,,10823.043360,A2_43,5,0.01704
,,10823.043040,A2_44,6,0.02416
,,10822.793680,C4_21,18,0.11864
,,10823.047520,D1_21,22,0.17344
,,10823.045840,D1_31,21,0.17184
,,10823.054160,D1_33,9,0.14488
,,10823.042240,D1_42,33,0.18496
,,10823.195600,D1_24,35,0.29272
,,10823.595600,A6_21,8,0.02096
,,10823.593600,A6_22,9,0.02016
,,10824.829440,A2_11,5,0.0116
,,10825.006160,B4_33,6,0.01664
,,10825.007920,B4_24,8,0.01912
,,10825.009840,B4_42,6,0.01296
,,10825.005040,B4_43,8,0.02192
,,10825.899760,A2_11,6,0.0124
,,10826.520240,B6_11,7,0.0196
,,10826.525680,B6_33,6,0.10936
,,10826.522720,B6_23,5,0.01136
,,10827.283040,A1_41,16,0.06848
,,10827.292080,A1_31,17,0.05528
,,10827.249600,A1_11,11,0.0808
,,10827.302960,A1_12,5,0.042
,,10827.298640,A1_13,20,0.05144
,,10827.308400,A1_22,5,0.03
,,10827.294320,A1_23,22,0.06608
,,10827.305040,A1_33,13,0.04576
,,10827.307920,A1_43,6,0.04136
,,10827.456560,B5_13,6,0.01832
,,10827.465840,B5_21,7,0.0188
,,10827.493360,A1_41,49,0.39144
,,10827.486880,A1_31,30,0.37848
,,10827.486400,A1_11,20,0.376
,,10827.598400,A1_12,8,0.26096
,,10827.595840,A1_22,12,0.26472
,,10827.473440,A1_33,25,0.3932
,,10827.485920,A1_43,17,0.37616
,,10827.782800,B6_11,5,0.01144
,,10827.985200,A1_41,7,0.0156
,,10827.252640,A1_21,125,0.7424
,,10827.475680,A1_13,71,0.51528
,,10827.473200,A1_23,73,0.52184
,,10827.299520,A1_34,123,0.72344
,,10827.998400,A6_12,15,0.06336
,,10827.998880,A6_11,14,0.06488
,,10828.004080,A6_42,5,0.04768
,,10828.029920,A6_32,6,0.02112
,,10827.998880,A6_21,23,0.06776
,,10828.031600,A6_31,11,0.0316
,,10827.997120,A6_22,25,0.07688
,,10828.620400,A2_21,6,0.01896
,,10828.621280,A2_11,5,0.01152
,,10828.617120,A2_33,7,0.01592
,,10828.619200,A2_32,5,0.0128
,,10828.617440,A2_34,9,0.05792
,,10828.549040,A3_41,10,0.15056
,,10828.555120,A3_21,26,0.14728
,,10828.538800,A3_31,20,0.1596
,,10828.503680,A3_11,24,0.19544
,,10828.510480,A3_12,35,0.1984
,,10828.509600,A3_13,51,0.20352
,,10828.529440,A3_23,10,0.16712
,,10828.508960,A3_14,48,0.2036
,,10828.516160,A3_24,48,0.19616
,,10828.516000,A3_34,30,0.18504
,,10828.540480,A3_32,28,0.16272
,,10828.518000,A3_44,50,0.18848
,,10828.517840,A3_43,51,0.1896
,,10829.016000,B6_44,9,0.02912
,,10829.805680,B4_33,5,0.01216
,,10829.804560,B4_43,6,0.01224
,,10830.081760,B1_33,7,0.01592
,,10830.750240,A5_14,9,0.12896
,,10830.761520,A5_13,17,0.10752
,,10830.753440,A5_21,15,0.0984
,,10830.757200,A5_41,10,0.1044
,,10830.990160,C1_11,8,0.12632
,,10831.088320,C1_13,12,0.04944
,,10831.003920,C1_23,12,0.1028
,,10831.004720,C1_33,13,0.09432
,,10830.997040,B6_14,25,0.0884
,,10831.021040,B6_12,5,0.0332
,,10831.023360,B6_11,8,0.03304
,,10830.995840,B6_33,20,0.07712
,,10830.997440,B6_23,20,0.0716
,,10830.996080,B6_34,18,0.08224
,,10831.046000,B6_43,5,0.01032
,,10830.994000,B6_44,29,0.13976
,,10831.022640,C1_43,18,0.13408
,,10831.718320,A2_21,14,0.04432
,,10831.722640,A2_11,9,0.02968
,,10831.731360,A2_13,6,0.03144
,,10831.726560,A2_14,7,0.02336
,,10831.720080,A2_33,13,0.04088
,,10831.721840,A2_34,13,0.04976
,,10831.720000,A2_32,11,0.04
,,10831.725120,A2_44,5,0.01592
,,10832.525280,A4_41,5,0.06448
,,10832.547680,A4_12,8,0.16192
,,10832.528480,A4_31,10,0.1628
,,10832.537520,A4_22,7,0.24752
,,10832.536320,A4_21,10,0.40536
,,10832.892240,A4_31,6,0.20496
,,10833.298880,A2_21,31,0.08536
,,10833.296000,A2_11,34,0.08768
,,10833.300240,A2_12,13,0.07776
,,10833.298080,A2_13,25,0.08104
,,10833.299920,A2_14,25,0.07664
,,10833.299040,A2_33,32,0.08368
,,10833.304160,A2_24,10,0.05344
,,10833.301520,A2_32,31,0.0812
,,10833.303360,A2_43,22,0.07096
,,10833.306160,A2_44,23,0.07368
,,10833.303120,A2_42,14,0.06896
,,10832.528560,A4_32,64,0.69208
,,10833.206640,B4_43,5,0.07056
,,10833.349200,A4_31,5,0.11264
,,10833.300400,A2_34,47,0.35536
,,10833.351440,A4_32,29,0.37584
,,10833.580480,A4_31,5,0.146
,,10833.889360,A4_32,15,0.15352
,,10833.885280,A4_31,5,0.1476
,,10834.548560,B3_31,27,0.09576
,,10834.552400,B3_11,7,0.04576
,,10834.550080,B3_12,18,0.08152
,,10834.549360,B3_22,6,0.02056
,,10834.544160,B3_23,8,0.02232
,,10834.542240,B3_24,7,0.0156
,,10834.543200,B3_34,14,0.09016
,,10834.546640,B3_32,28,0.08496
,,10834.539680,B3_44,13,0.06512
,,10834.543600,B3_42,30,0.08512
,,10834.549680,B3_21,39,0.28264
,,10834.519680,B3_14,25,0.13648
,,10834.542880,B3_33,24,0.16744
,,10834.540640,B3_43,52,0.34224
,,10835.085600,A3_41,8,0.052
,,10835.109200,A3_21,24,0.09256
,,10835.109520,A3_31,12,0.08392
,,10835.055120,A3_11,19,0.14712
,,10835.065040,A3_12,30,0.1432
,,10835.060320,A3_13,49,0.15024
,,10835.093200,A3_23,6,0.08104
,,10835.057920,A3_14,49,0.15112
,,10835.068320,A3_24,50,0.13984
,,10835.064800,A3_34,26,0.1236
,,10835.105120,A3_32,21,0.09016
,,10835.072560,A3_44,45,0.12784
,,10835.070560,A3_43,49,0.15104
,,10835.193520,B6_44,8,0.03
,,10835.841600,C2_14,5,0.01224
,,10835.748960,D3_21,13,0.05952
,,10835.602080,D3_23,8,0.18616
,,10835.746080,D3_33,21,0.07496
,,10835.747280,D3_34,12,0.0776
,,10835.630880,D3_32,8,0.16048
,,10835.518400,D6_44,52,0.20696
,,10836.014400,C2_34,5,0.04504
,,10836.018480,B4_33,8,0.03224
,,10836.015280,B4_34,6,0.01424
,,10836.019120,B4_24,13,0.07064
,,10836.021920,B4_42,5,0.05016
,,10836.017280,B4_43,6,0.01808
,,10836.016960,B4_44,6,0.01472
,,10835.894080,A6_12,29,0.08984
,,10835.894480,A6_11,28,0.08448
,,10835.899360,A6_42,18,0.08904
,,10835.942560,A6_43,10,0.04192
,,10835.898560,A6_32,12,0.06832
,,10835.894480,A6_21,37,0.1024
,,10835.899680,A6_31,26,0.082
,,10835.892480,A6_22,35,0.11296
,,10837.421200,B6_14,5,0.01008
,,10837.418160,B6_33,6,0.01248
,,10837.420800,B6_23,5,0.01208
,,10837.885280,B6_44,5,0.0136
,,10838.027520,B1_33,7,0.01968
,,10838.632640,D3_21,5,0.0168
,,10838.611200,B4_11,5,0.03112
,,10838.601600,B4_33,10,0.04048
,,10838.597920,B4_34,5,0.01216
,,10838.601440,B4_24,12,0.04384
,,10838.602720,B4_42,9,0.03736
,,10838.598400,B4_43,12,0.0424
,,10838.599920,B4_44,5,0.01376
,,10838.651360,D3_32,5,0.01904
,,10838.669360,B5_14,8,0.03968
,,10838.674320,B5_12,6,0.0316
,,10838.662320,B5_13,14,0.05072
,,10838.676160,B5_44,7,0.03176
,,10838.672080,B5_21,18,0.04752
,,10838.682320,B5_41,10,0.0608
,,10838.832320,C2_11,24,0.24136
,,10838.835120,C2_12,19,0.12936
,,10838.836800,C2_14,24,0.13152
,,10838.844400,C2_34,15,0.15296
,,10839.986320,A2_33,5,0.00976
,,10839.987760,A2_34,5,0.01088
,,10840.242160,D5_43,14,0.09064
,,10840.405440,D1_33,5,0.01072
,,10840.407040,D1_24,5,0.0124
,,10840.408080,D1_42,9,0.03984
,,10840.548400,D5_43,9,0.09536
,,10840.686640,B6_14,9,0.0232
,,10840.688000,B6_11,5,0.0124
,,10840.689120,B6_33,9,0.0404
,,10840.685440,B6_23,7,0.02136
,,10840.692800,B6_34,5,0.01408
,,10841.371280,C3_24,31,0.37872
,,10842.217360,B3_21,6,0.01616
,,10842.216400,B3_31,8,0.02376
,,10842.218800,B3_12,7,0.01576
,,10842.213120,B3_23,5,0.02112
,,10842.210080,B3_14,7,0.01784
,,10842.210720,B3_33,7,0.01976
,,10842.210080,B3_24,6,0.01592
,,10842.208800,B3_34,7,0.02256
,,10842.215440,B3_32,7,0.01696
,,10842.208640,B3_43,11,0.02904
,,10842.207200,B3_44,7,0.01832
,,10842.211440,B3_42,7,0.02104
,,10842.502160,B4_34,5,0.0108
,,10842.504640,B4_24,8,0.03976
,,10842.502720,B4_43,5,0.01072
,,10842.981200,D1_21,22,0.1844
,,10842.981200,D1_31,11,0.17896
,,10843.078960,D1_22,18,0.0852
,,10843.070800,D1_24,5,0.092
,,10843.093040,B1_33,12,0.10568
,,10843.181920,A6_21,7,0.01496
,,10843.179440,A6_22,7,0.01744
,,10843.410960,A3_41,10,0.05544
,,10843.421920,A3_21,18,0.08512
,,10843.413680,A3_31,13,0.08392
,,10843.372880,A3_11,17,0.13152
,,10843.396880,A3_12,30,0.1072
,,10843.378880,A3_13,45,0.13112
,,10843.412160,A3_23,6,0.0196
,,10843.378720,A3_14,46,0.13144
,,10843.413280,A3_33,5,0.05512
,,10843.387280,A3_24,42,0.11904
,,10843.383040,A3_34,19,0.12032
,,10843.406560,A3_32,22,0.1036
,,10843.386640,A3_44,41,0.12176
,,10843.386080,A3_43,44,0.14096
,,10844.828960,D4_34,8,0.0672
,,10844.804480,D4_42,19,0.13504
,,10844.819200,D4_43,30,0.11992
,,10844.783360,D4_32,40,0.16032
,,10845.025040,B5_14,5,0.01944
,,10845.017920,B5_13,8,0.02888
,,10845.020480,B5_21,12,0.03288
,,10845.246480,B3_14,10,0.04464
,,10846.066160,B1_33,5,0.09232
,,10846.209360,B6_11,5,0.01112
,,10846.709920,B4_33,5,0.01016
,,10846.706960,B4_43,5,0.01136
,,10846.846640,B6_44,5,0.01008
,,10847.652720,A6_21,10,0.0232
,,10847.650720,A6_22,9,0.03952
,,10847.516000,D6_44,60,0.22256
,,10848.514400,A2_21,7,0.02448
,,10848.511600,A2_33,7,0.01808
,,10848.450000,A2_34,7,0.09904
,,10848.600880,B6_11,5,0.00936
,,10849.508000,B6_14,21,0.09224
,,10849.508880,B6_12,6,0.05
,,10849.508880,B6_11,14,0.05376
,,10849.507920,B6_33,23,0.11064
,,10849.508000,B6_23,14,0.05744
,,10849.514160,B6_34,17,0.052
,,10849.533520,B6_43,5,0.01344
,,10849.524960,B6_44,25,0.08544
,,10849.713680,A3_41,7,0.10336
,,10849.723040,A3_21,25,0.10048
,,10849.721120,A3_31,19,0.09744
,,10849.671440,A3_11,18,0.15472
