Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00144.266640,B6_23,6,0.01416
,,00144.263360,B6_34,6,0.0152
,,00144.253600,B6_44,6,0.02704
,,00145.449920,A3_41,6,0.03896
,,00145.450320,A3_21,12,0.07992
,,00145.446560,A3_31,12,0.08544
,,00145.437520,A3_11,21,0.09032
,,00145.440000,A3_12,16,0.09088
,,00145.440880,A3_13,31,0.09352
,,00145.448560,A3_23,7,0.07592
,,00145.439680,A3_14,27,0.09048
,,00145.446560,A3_24,30,0.0836
,,00145.442800,A3_34,16,0.0812
,,00145.447600,A3_32,17,0.07744
,,00145.441120,A3_44,33,0.0916
,,00145.442320,A3_43,35,0.09632
,,00146.035040,D1_33,8,0.03848
,,00146.038240,D1_24,17,0.04488
,,00145.846240,A3_41,9,0.14664
,,00145.835920,A3_21,22,0.26016
,,00145.842880,A3_31,14,0.25496
,,00145.808320,A3_11,17,0.28624
,,00145.832480,A3_12,30,0.26224
,,00145.836320,A3_13,38,0.26744
,,00145.838400,A3_23,12,0.2516
,,00145.839520,A3_14,34,0.25344
,,00145.843440,A3_24,39,0.25368
,,00145.844960,A3_34,19,0.25416
,,00145.840800,A3_32,23,0.25704
,,00145.844560,A3_44,40,0.25824
,,00145.844400,A3_43,40,0.25376
,,00145.921440,D5_43,8,0.13248
,,00145.912960,D5_22,28,0.19584
,,00146.061120,D1_21,26,0.1532
,,00146.047440,D1_31,26,0.16552
,,00146.037440,D1_22,5,0.16008
,,00146.037600,D1_42,29,0.17352
,,00147.095840,B3_21,11,0.03968
,,00147.094080,B3_31,19,0.05176
,,00147.102160,B3_11,8,0.03992
,,00147.095200,B3_22,5,0.03056
,,00147.089680,B3_23,8,0.0332
,,00147.087840,B3_14,9,0.03864
,,00147.088960,B3_33,12,0.0396
,,00147.088560,B3_24,7,0.01672
,,00147.088000,B3_34,11,0.0372
,,00147.093200,B3_32,13,0.05608
,,00147.090240,B3_42,13,0.03296
,,00147.096320,B3_12,17,0.05448
,,00147.088720,B3_43,18,0.07104
,,00147.043360,B3_44,14,0.10728
,,00147.676560,C1_23,8,0.1128
,,00147.680800,C1_33,19,0.11224
,,00147.707920,C1_43,24,0.0864
,,00147.746560,C1_44,9,0.02816
,,00148.106240,C2_12,5,0.01696
,,00148.105840,C2_14,12,0.09928
,,00148.117200,C2_34,7,0.09472
,,00148.429920,D1_33,6,0.02936
,,00148.433040,D1_24,10,0.02744
,,00148.432160,D1_34,6,0.02744
,,00148.364800,D4_14,7,0.056
,,00148.379280,D4_34,6,0.0672
,,00148.387040,D4_42,13,0.06152
,,00148.379600,D4_43,21,0.08816
,,00148.337120,D4_32,27,0.12992
,,00148.641200,D4_14,9,0.2324
,,00148.640320,D4_34,5,0.0632
,,00148.652640,D4_42,11,0.0436
,,00148.645600,D4_43,8,0.04968
,,00148.648880,D4_32,16,0.05176
,,00149.084720,C4_31,7,0.06424
,,00148.609120,D4_13,19,0.4268
,,00148.827760,D4_42,14,0.13424
,,00148.820480,D4_43,23,0.1276
,,00149.052400,D4_43,6,0.02056
,,00148.812960,D4_32,42,0.27136
,,00149.020880,C4_11,6,0.14112
,,00149.038240,C4_21,11,0.13688
,,00149.388960,D3_24,15,0.07976
,,00149.761680,A1_41,9,0.05368
,,00149.761520,A1_31,16,0.05848
,,00149.744560,A1_13,23,0.0748
,,00149.766320,A1_22,14,0.04792
,,00149.742960,A1_23,30,0.07672
,,00149.772960,A1_33,9,0.0392
,,00149.745920,A1_34,33,0.09704
,,00149.770960,A1_43,9,0.042
,,00149.772560,A1_44,5,0.04344
