Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,04756.856160,A3_12,29,0.1048
,,04756.859680,A3_13,39,0.10952
,,04756.868080,A3_23,15,0.08888
,,04756.859120,A3_14,38,0.10504
,,04756.863040,A3_34,25,0.0992
,,04756.879280,A3_32,18,0.0824
,,04756.864880,A3_44,34,0.10024
,,04756.864640,A3_43,34,0.10232
,,04757.211840,B6_14,7,0.01928
,,04757.207600,B6_33,10,0.02848
,,04757.210160,B6_23,8,0.01904
,,04757.209840,B6_34,6,0.01696
,,04757.208880,B6_44,6,0.02104
,,04757.213520,B6_21,5,0.02304
,,04757.216000,B6_22,7,0.01968
,,04759.257840,B4_44,7,0.10656
,,04759.355200,B4_11,28,0.2056
,,04759.270000,B4_33,30,0.20608
,,04759.252880,B4_34,10,0.1672
,,04759.285600,B4_24,25,0.1636
,,04759.273120,B4_42,14,0.15448
,,04759.259280,B4_43,34,0.28752
,,04759.355520,B4_32,5,0.08288
,,04759.277600,B4_21,36,0.28608
,,04759.411280,B4_31,9,0.14696
,,04759.388240,B4_22,6,0.14648
,,04759.477920,B6_14,8,0.02272
,,04759.466000,B6_33,14,0.05048
,,04759.468400,B6_23,9,0.0336
,,04759.467600,B6_34,10,0.03072
,,04759.458720,B6_44,6,0.03872
,,04759.438880,A1_41,47,0.27616
,,04759.437600,A1_21,65,0.27712
,,04759.439120,A1_31,36,0.26112
,,04759.442480,A1_11,24,0.25208
,,04759.444240,A1_12,20,0.2532
,,04759.440480,A1_13,45,0.2636
,,04759.446000,A1_22,27,0.25216
,,04759.439840,A1_23,52,0.2668
,,04759.614000,A1_14,5,0.08512
,,04759.449520,A1_33,11,0.24896
,,04759.443280,A1_34,61,0.26592
,,04759.449360,A1_43,28,0.26032
,,04759.788480,B5_41,8,0.108
,,04759.738480,B5_31,14,0.08072
,,04759.738080,B5_14,32,0.17192
,,04760.039680,B5_14,9,0.04632
,,04759.735520,B5_12,17,0.17912
,,04759.734080,B5_13,36,0.18296
,,04759.765440,B5_44,22,0.37816
,,04759.733360,B5_21,76,0.39112
,,04760.397520,A5_14,6,0.11784
,,04760.386400,A5_13,22,0.0824
,,04760.378880,A5_21,12,0.08424
,,04760.952320,A3_41,6,0.11088
,,04760.964000,A3_21,20,0.09624
,,04760.942240,A3_31,26,0.12
