Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00029.634800,B4_43,8,0.10264
,,00029.833520,B5_13,6,0.09312
,,00029.843040,B5_21,21,0.13736
,,00029.862640,B5_31,10,0.07616
,,00029.978800,A6_21,9,0.0324
,,00029.861680,A6_22,17,0.15472
,,00030.430160,A2_21,12,0.0464
,,00030.443200,A2_11,9,0.04264
,,00030.424880,A2_33,8,0.08752
,,00030.447360,A2_34,7,0.0232
,,00030.446720,A2_32,5,0.02968
,,00030.893280,B1_33,10,0.05304
,,00031.041520,A6_22,5,0.01368
,,00031.747680,B6_33,7,0.02912
,,00031.896000,A6_21,7,0.01904
,,00031.797040,A6_22,9,0.12032
,,00032.115280,A1_21,14,0.07528
,,00032.350720,A2_21,9,0.05472
,,00032.386080,A2_11,6,0.01624
,,00032.356720,A2_33,6,0.04336
,,00032.386880,A2_34,5,0.02704
,,00032.689760,A3_13,6,0.01288
,,00032.851120,A6_22,12,0.03384
,,00033.035680,B4_33,18,0.10776
,,00032.998880,B4_34,16,0.11144
,,00032.848960,A6_21,14,0.06568
,,00033.068640,B4_42,11,0.0916
,,00033.042960,B4_43,33,0.3232
,,00033.081440,B4_32,6,0.10984
,,00033.722560,D1_21,7,0.14376
,,00033.763920,D1_31,5,0.09856
,,00034.242640,B1_33,5,0.02696
,,00034.654880,C3_12,5,0.04544
,,00034.964720,B5_21,12,0.1048
,,00035.679920,D1_31,5,0.05088
,,00035.637120,A6_22,8,0.07808
,,00036.376720,A6_21,14,0.03944
,,00036.376160,A6_22,12,0.03344
,,00036.443040,C4_11,41,0.2372
,,00036.847440,C4_11,8,0.03248
,,00037.467280,A2_34,6,0.12824
,,00037.993280,A6_22,8,0.13288
,,00038.549360,A6_21,7,0.01608
,,00038.373840,A6_22,13,0.1908
,,00038.869200,B4_33,6,0.02768
,,00038.840480,B4_34,11,0.04768
,,00038.857040,B1_33,6,0.0724
,,00038.907040,B1_32,6,0.01784
,,00038.767520,B4_43,16,0.13464
,,00040.149680,A6_21,7,0.03816
,,00039.616560,A6_22,28,0.56472
,,00040.479760,A2_21,12,0.0444
,,00040.495680,A2_11,5,0.022
,,00040.483120,A2_33,8,0.03272
,,00040.495520,A2_34,5,0.01312
,,00040.488320,A2_32,6,0.03312
,,00040.792320,D1_33,6,0.05144
,,00040.835440,D1_24,13,0.058
,,00040.450640,D1_42,10,0.39704
,,00040.914000,D1_21,6,0.04528
,,00041.119680,C3_12,5,0.08536
,,00041.143040,B3_14,11,0.07464
,,00041.179280,B3_32,5,0.02776
,,00041.495280,B3_14,12,0.05064
,,00042.392960,A6_22,8,0.10696
,,00042.798480,A6_21,8,0.0316
,,00042.694240,A6_22,14,0.1432
,,00042.852640,C5_44,6,0.05896
,,00043.611440,C1_43,6,0.02736
,,00043.706960,B6_33,5,0.10272
,,00044.315280,A3_13,9,0.02496
,,00045.348880,B1_33,5,0.04864
,,00045.128800,A2_33,5,0.0484
,,00045.525920,A6_22,7,0.03808
,,00045.873920,A2_11,6,0.2368
,,00045.879840,A2_33,9,0.0412
,,00045.865040,A2_34,8,0.05152
,,00045.887760,A6_21,44,0.12752
,,00045.856400,A6_22,44,0.16392
,,00046.019280,A2_34,9,0.16904
,,00048.152800,A2_11,5,0.2348
,,00048.153680,A6_22,5,0.09968
,,00048.713360,B6_33,5,0.04344
,,00048.840560,C2_44,10,0.23496
,,00048.886240,A4_12,5,0.13336
,,00048.856480,A4_32,26,0.17536
,,00048.975200,A6_22,17,0.13208
,,00049.068320,B3_14,9,0.10232
,,00049.438000,B3_14,6,0.03712
,,00049.592000,B6_44,5,0.096
,,00049.863440,A2_11,5,0.10256
,,00050.022400,B4_43,6,0.08
,,00050.490800,A6_21,23,0.29752
,,00050.265600,A6_22,29,0.4384
,,00051.337680,A3_13,9,0.02224
,,00051.712880,B4_34,5,0.0528
,,00051.716080,B4_43,16,0.04416
,,00051.686000,A6_22,9,0.19176
,,00051.972160,B3_44,5,0.01632
,,00052.004320,A6_22,24,0.36768
,,00052.325920,A6_21,23,0.35936
,,00052.479520,A6_22,19,0.23416
,,00052.576960,B6_14,6,0.13272
,,00053.554640,D1_42,9,0.06824
,,00053.348880,A2_21,10,0.116
,,00053.357200,A2_11,6,0.11296
,,00053.453520,A2_33,9,0.04744
,,00053.381040,A2_34,10,0.09088
,,00053.448800,A2_32,7,0.03272
,,00053.495360,B6_14,5,0.0248
,,00053.552960,D1_24,27,0.18296
,,00054.268720,B1_33,6,0.02832
,,00054.126640,A6_22,13,0.08664
,,00054.808080,A3_13,8,0.02504
,,00055.386880,A6_22,6,0.01656
,,00055.611440,B1_33,9,0.12384
,,00055.644640,B1_32,6,0.07104
,,00055.659280,B3_14,8,0.02008
,,00055.655520,B3_32,5,0.01192
,,00055.655360,B3_43,6,0.02512
,,00055.591680,B3_44,6,0.08072
,,00055.656560,B3_42,5,0.01368
,,00056.543840,D3_24,6,0.0788
,,00056.467760,A6_22,8,0.08928
,,00057.186720,A2_34,5,0.09592
,,00057.360480,A6_21,5,0.01984
,,00057.350960,A6_22,8,0.03504
,,00057.594800,B1_33,7,0.02392
,,00057.597840,B1_32,6,0.02248
,,00057.828960,B4_43,6,0.01312
,,00058.000400,B6_14,9,0.03496
,,00057.988240,B6_33,10,0.0448
,,00057.997520,B6_23,5,0.01648
,,00057.995920,B6_34,5,0.01168
,,00057.997440,B6_44,5,0.01696
,,00058.240960,A6_22,6,0.08328
,,00058.847440,C5_44,5,0.10096
,,00058.935760,A6_21,6,0.0216
,,00058.930880,A6_22,7,0.02064
,,00059.189040,B3_32,5,0.07712
,,00059.597120,A6_21,6,0.0628
,,00059.630960,A6_22,11,0.11144
,,00060.744160,B3_14,8,0.0224
,,00060.621120,A6_21,13,0.09408
,,00060.623360,A6_22,10,0.0284
,,00062.128880,A3_13,7,0.0176
,,00061.919760,A6_22,6,0.05568
,,00062.335840,B3_14,18,0.12808
,,00062.439760,B4_34,5,0.08488
,,00062.857920,B1_33,5,0.01968
,,00062.583200,A6_21,35,0.09176
,,00062.563200,A6_22,33,0.10944
,,00062.871840,D1_33,5,0.08264
,,00062.874080,D1_24,33,0.20624
,,00063.638960,B1_33,5,0.01104
,,00063.374880,A2_34,6,0.132
,,00063.442880,B6_14,14,0.13448
,,00063.446160,B6_33,11,0.13456
,,00063.427360,B6_34,10,0.11664
,,00063.962240,A2_21,8,0.0368
,,00063.966000,A2_11,7,0.01848
,,00063.898560,A2_33,7,0.08816
,,00063.965760,A2_32,5,0.0408
,,00064.287440,A3_13,8,0.02136
,,00065.229200,A6_22,6,0.09272
,,00065.424240,B1_33,6,0.02152
,,00065.952800,A6_22,16,0.12608
,,00066.249360,B6_33,7,0.08968
,,00066.395600,A3_13,8,0.0224
,,00066.716080,B1_33,5,0.01136
,,00066.716320,B1_32,6,0.1104
,,00067.101920,B4_33,5,0.03304
,,00067.107600,B4_43,12,0.03288
,,00067.177920,D1_24,39,0.16456
,,00067.178240,D1_42,6,0.12504
,,00067.885520,A6_22,13,0.11408
,,00068.214480,B1_33,5,0.01448
,,00068.213760,B1_32,6,0.0196
,,00068.288240,A6_22,11,0.14912
,,00068.867120,A2_33,8,0.03224
,,00068.861760,A2_34,8,0.02352
,,00068.866480,A2_32,5,0.01552
,,00068.699680,A6_21,9,0.15
,,00068.584960,A6_22,15,0.15232
,,00068.840720,A2_11,34,0.26
,,00069.062960,A2_14,10,0.03936
,,00069.035280,A2_33,24,0.07632
,,00069.041120,A2_32,17,0.05496
,,00069.063760,A2_44,5,0.0116
,,00068.891600,B6_33,7,0.0324
,,00068.861040,A2_21,47,0.39856
,,00069.050160,A2_34,23,0.12648
,,00069.396000,A3_13,8,0.01888
,,00069.782160,A6_22,5,0.0108
,,00070.038640,B3_14,5,0.01544
,,00070.565040,A6_21,5,0.02392
,,00070.545600,A6_22,9,0.03024
,,00071.018320,B5_21,15,0.1236
,,00071.418960,B3_44,6,0.07792
,,00071.437120,A6_21,5,0.016
,,00071.432800,A6_22,8,0.02376
,,00071.682240,C4_11,34,0.132
,,00072.010960,A6_21,32,0.08128
,,00072.013200,A6_22,31,0.08336
,,00071.921280,C4_11,25,0.27888
,,00073.387840,C2_14,12,0.30856
,,00073.582800,A4_12,5,0.1376
,,00073.900720,A4_32,25,0.18176
,,00073.984400,D1_24,27,0.16616
,,00074.107440,B3_32,5,0.08144
,,00074.627440,B3_42,6,0.02016
,,00074.582960,A6_22,5,0.05752
,,00074.663680,B3_11,5,0.02976
,,00074.625360,B3_32,6,0.07872
,,00074.630960,B3_43,5,0.04816
,,00074.948160,B3_14,5,0.06376
,,00075.349120,B1_33,5,0.02664
,,00075.239200,A3_13,6,0.01312
,,00075.373760,B6_34,5,0.01336
,,00075.260080,A6_22,13,0.15016
,,00075.377120,B6_14,8,0.0248
,,00075.357920,B6_33,12,0.0596
,,00075.824240,B4_33,23,0.18048
,,00075.821120,B4_34,18,0.16048
,,00075.921840,B4_42,13,0.08384
,,00075.944400,B4_32,8,0.15544
,,00075.925840,B4_44,6,0.04664
,,00076.016560,A6_22,12,0.09616
,,00075.829360,B4_43,46,0.39848
,,00076.351680,A6_21,6,0.18344
,,00076.705200,B3_14,6,0.01792
,,00077.127920,A1_21,56,0.17008
,,00077.195920,A1_31,6,0.05728
,,00077.198880,A1_13,14,0.09704
,,00077.196080,A1_23,32,0.0924
,,00077.200480,A1_34,9,0.08664
,,00077.046880,A6_21,15,0.29096
,,00076.849360,A6_22,24,0.36192
,,00077.529200,A6_21,53,0.42312
,,00077.454960,A6_22,62,0.61664
,,00078.277600,A1_21,23,0.0696
,,00078.302000,A1_13,7,0.01856
,,00078.296560,A1_23,10,0.02864
,,00078.300400,A1_34,5,0.03376
,,00078.141200,A2_21,13,0.04336
,,00078.060240,A2_11,14,0.12824
,,00078.151280,A2_33,12,0.04008
,,00078.155120,A2_34,9,0.02608
,,00078.145120,A2_32,6,0.0296
,,00078.448480,B3_14,9,0.03416
,,00079.333440,A6_22,5,0.15136
,,00079.667120,B1_33,7,0.10792
,,00080.058320,D1_42,5,0.0364
,,00079.898320,A6_21,36,0.14096
,,00079.823600,A6_22,41,0.17208
,,00080.053680,D1_33,5,0.11072
,,00080.055920,D1_24,30,0.14136
,,00080.453600,D4_42,15,0.11848
,,00080.458400,D4_32,6,0.13552
,,00080.613840,A3_14,23,0.18432
,,00080.662960,A3_24,23,0.13712
,,00080.652800,A3_34,13,0.12728
,,00080.655360,A3_44,28,0.13832
,,00080.680000,A3_43,20,0.10896
,,00080.792080,B4_43,7,0.02008
,,00080.646640,B6_33,5,0.04304
,,00080.610080,A3_13,63,0.36384
,,00081.080400,A2_33,9,0.09512
,,00082.049360,B1_33,5,0.01848
,,00082.305120,C3_12,5,0.04864
,,00082.662000,D1_21,9,0.14016
,,00082.664320,A6_22,10,0.24144
,,00083.231120,A2_34,10,0.10872
,,00083.895920,A6_21,7,0.05104
,,00083.885360,A6_22,10,0.098
,,00084.361840,D1_42,6,0.05416
,,00084.707440,B6_33,5,0.01576
,,00084.883040,C3_12,16,0.14696
,,00086.430800,B6_33,5,0.02264
,,00086.674400,D1_42,5,0.02552
,,00086.614880,A2_21,5,0.05552
,,00086.811600,B3_14,9,0.07824
,,00086.676640,A6_21,7,0.02864
,,00086.671760,A6_22,10,0.03528
,,00087.316320,A6_21,14,0.05752
,,00087.314240,A6_22,14,0.08672
,,00087.412240,B6_14,9,0.08712
,,00087.463760,B6_33,13,0.04704
,,00087.470000,B6_34,6,0.01608
,,00087.480080,B6_44,5,0.01624
,,00088.485680,A1_21,36,0.10384
,,00088.511440,A1_31,6,0.06008
,,00088.515920,A1_13,13,0.10056
,,00088.510720,A1_23,22,0.10536
,,00088.513440,A1_34,9,0.09208
,,00088.517920,A1_42,5,0.06216
,,00088.523520,A3_13,9,0.03336
,,00088.786480,B1_33,6,0.0144
,,00088.784720,B1_32,7,0.0168
,,00088.620720,B4_43,8,0.03328
,,00089.761920,C1_23,7,0.03792
,,00089.761360,C1_33,5,0.04752
,,00089.491520,A6_22,16,0.306
,,00089.761360,B6_14,33,0.35856
,,00089.891600,B6_33,6,0.06152
,,00090.098000,B6_33,5,0.03304
,,00089.807760,B6_23,19,0.26344
,,00089.880000,B6_34,12,0.2188
,,00090.359840,A6_21,5,0.02096
,,00090.339520,A6_22,9,0.02688
,,00090.255920,B6_14,11,0.05592
,,00090.305120,B6_33,6,0.01784
,,00090.296880,B6_34,8,0.03096
,,00090.509760,A2_21,9,0.02968
,,00090.523440,A2_11,5,0.0132
,,00090.508720,A2_33,9,0.03344
,,00090.522240,A2_34,6,0.01432
,,00090.518720,A2_32,7,0.02176
,,00090.936160,B3_14,8,0.0752
,,00091.305760,A6_22,6,0.02264
,,00091.922240,A6_21,6,0.02376
,,00091.843120,A6_22,10,0.11256
