Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,12778.814080,A3_43,54,0.16616
,,12778.693440,C4_11,31,0.22728
,,12778.779120,C4_21,29,0.1516
,,12778.784240,C4_31,8,0.13632
,,12778.429520,B6_14,66,0.50664
,,12779.235520,D1_24,7,0.01504
,,12779.235760,A5_14,7,0.02872
,,12779.248480,A5_13,17,0.13864
,,12779.238480,A5_21,13,0.13664
,,12779.238480,A5_41,8,0.1284
,,12779.303840,B5_14,15,0.06344
,,12779.302160,B5_12,9,0.05768
,,12779.295680,B5_13,20,0.07576
,,12779.309280,B5_21,28,0.07976
,,12779.113760,B6_11,50,0.17984
,,12780.493120,B4_12,5,0.0516
,,12780.479920,B4_33,11,0.07576
,,12780.481840,B4_24,19,0.07152
,,12780.481360,B4_42,8,0.06056
,,12780.477760,B4_43,11,0.07496
,,12780.480560,B4_21,6,0.06728
,,12780.662800,D3_44,5,0.05912
,,12780.824640,B5_14,10,0.03
,,12780.799760,B5_13,10,0.04296
,,12780.830240,B5_21,13,0.03472
,,12780.878720,B6_14,51,0.20784
,,12780.878320,B6_12,8,0.13728
