Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00017.783360,A3_44,56,0.22448
,,00017.784000,A3_43,63,0.23224
,,00018.300240,B6_14,6,0.0344
,,00018.381440,A5_14,8,0.03072
,,00018.731520,D1_21,21,0.12992
,,00018.733680,D1_31,12,0.06208
,,00018.724320,D1_24,5,0.01128
,,00018.723920,D1_42,15,0.0712
,,00019.042560,B6_14,6,0.03776
,,00018.967840,B6_33,7,0.1652
,,00019.315840,A2_34,5,0.03368
,,00019.585760,A5_14,8,0.04752
,,00019.567680,A5_13,11,0.0564
,,00019.510640,A5_21,10,0.09
,,00019.502000,C2_11,21,0.2024
,,00019.497520,C2_14,26,0.22008
,,00019.502320,C2_34,14,0.24608
,,00019.939200,D3_44,5,0.04336
,,00020.024160,B6_14,5,0.03272
,,00020.316480,B4_43,5,0.01184
,,00021.027360,B6_14,5,0.0364
,,00021.280480,A6_12,19,0.06848
,,00021.282000,A6_11,19,0.06744
,,00021.288320,A6_42,10,0.04672
,,00021.289840,A6_32,8,0.0392
,,00021.281440,A6_21,25,0.0696
,,00021.283920,A6_31,21,0.064
,,00021.273520,A6_22,29,0.07792
,,00021.999680,B4_33,6,0.0152
,,00022.000320,B4_42,7,0.01688
,,00021.996880,B4_43,7,0.0164
,,00022.207440,B6_33,11,0.22216
,,00022.878160,B6_14,5,0.03432
,,00024.271440,D1_21,5,0.08592
,,00024.848480,B6_14,5,0.03248
,,00025.497920,A2_33,6,0.01384
,,00025.494960,A2_34,5,0.03392
,,00025.493600,A2_32,5,0.01304
,,00025.579360,B4_33,8,0.04168
,,00025.577040,B4_24,14,0.0556
,,00025.578960,B4_42,7,0.03368
,,00025.575680,B4_43,10,0.04488
,,00025.579200,B4_21,5,0.02984
,,00025.569760,B6_14,8,0.04584
,,00025.302240,B6_33,6,0.3696
,,00026.374560,C1_33,5,0.02344
,,00026.552960,A5_14,7,0.0316
,,00026.380960,B6_14,6,0.03456
,,00027.835200,D1_34,6,0.0412
,,00027.721840,B6_14,6,0.03528
,,00027.844560,D1_21,27,0.21648
,,00027.844480,D1_31,13,0.08336
,,00027.833120,D1_33,12,0.10464
,,00027.835680,D1_42,16,0.09264
,,00027.918080,A2_34,5,0.02808
,,00028.202480,A6_12,34,0.144
,,00028.203200,A6_11,33,0.14024
,,00028.209360,A6_42,21,0.13008
,,00028.238720,A6_43,22,0.10952
,,00028.210160,A6_32,13,0.12328
,,00028.243040,A6_44,5,0.0912
,,00028.203360,A6_21,49,0.14632
,,00028.209120,A6_31,27,0.13272
,,00028.200000,A6_22,48,0.15608
,,00027.834640,D1_24,76,0.60288
,,00028.499600,A3_41,14,0.13192
,,00028.520000,A3_21,21,0.12072
,,00028.494240,A3_31,17,0.15216
,,00028.470560,A3_11,24,0.1668
,,00028.474560,A3_12,26,0.16584
,,00028.475280,A3_13,58,0.17152
,,00028.473920,A3_22,42,0.16896
,,00028.517840,A3_23,8,0.10512
,,00028.473520,A3_14,52,0.1616
,,00028.489760,A3_24,53,0.15488
,,00028.477520,A3_34,28,0.15512
,,00028.515760,A3_32,34,0.1288
,,00028.481520,A3_44,58,0.16304
,,00028.598880,B6_14,5,0.03096
,,00028.827360,A3_41,5,0.06488
,,00028.481840,A3_43,54,0.1692
,,00028.743040,B4_42,6,0.01352
,,00028.739040,B4_43,7,0.01784
,,00028.501440,A6_12,51,0.35872
,,00028.502720,A6_11,34,0.3536
,,00028.497120,A6_42,26,0.3704
,,00028.501440,A6_43,35,0.36512
,,00028.503680,A6_32,12,0.35168
,,00028.505920,A6_44,6,0.18464
,,00028.496800,A6_21,59,0.3636
,,00028.498320,A6_31,27,0.36056
,,00028.825680,A3_21,10,0.08088
,,00028.825680,A3_31,14,0.08384
,,00028.825840,A3_11,8,0.08696
,,00028.821120,A3_12,20,0.09136
,,00028.814240,A3_13,29,0.10128
,,00028.823440,A3_22,18,0.09304
,,00028.821120,A3_23,9,0.08904
,,00028.814240,A3_14,28,0.1116
,,00028.812240,A3_24,31,0.10344
,,00028.817520,A3_34,11,0.08824
,,00028.823440,A3_32,17,0.09272
,,00028.819200,A3_44,30,0.09064
,,00028.819520,A3_43,34,0.09416
,,00029.009280,A6_12,7,0.01584
,,00029.011680,A6_11,5,0.00928
,,00029.015520,A6_42,5,0.01368
,,00029.005040,A6_21,7,0.01744
,,00028.494800,A6_22,98,0.53552
,,00030.539040,B4_33,8,0.01808
,,00030.537120,B4_24,7,0.02016
,,00030.540960,B4_42,5,0.01312
,,00030.536320,B4_43,8,0.01992
,,00030.396640,B6_14,6,0.10552
,,00031.116080,B3_21,23,0.11448
,,00031.031840,B3_31,38,0.1992
,,00031.117680,B3_11,7,0.11376
,,00031.043920,B3_12,31,0.19232
,,00031.105040,B3_23,12,0.05792
,,00031.104400,B3_14,34,0.14776
,,00031.113200,B3_33,19,0.06696
,,00031.106480,B3_24,12,0.0632
,,00031.103280,B3_34,22,0.0692
,,00031.044960,B3_32,37,0.18928
,,00031.039360,B3_43,43,0.20744
,,00031.102480,B3_44,19,0.08136
,,00031.108640,B3_42,34,0.14432
,,00031.557120,C2_11,16,0.21688
,,00031.557760,C2_12,6,0.13736
,,00031.556320,C2_14,21,0.20168
,,00031.565760,C2_34,15,0.32512
,,00032.297040,D1_21,11,0.09712
,,00032.294080,D1_31,9,0.05032
,,00032.281680,D1_33,5,0.01648
,,00032.284560,D1_24,11,0.04216
,,00032.284320,D1_42,19,0.066
,,00032.153680,B6_14,6,0.1256
,,00032.557840,B4_33,7,0.01544
,,00032.559120,B4_24,7,0.02544
,,00032.557920,B4_42,6,0.01528
,,00032.555920,B4_43,6,0.0168
,,00033.811760,A5_14,7,0.0316
,,00033.751680,B6_14,6,0.03328
,,00034.006400,D1_24,14,0.05736
,,00034.021680,D1_21,38,0.23376
,,00034.018640,D1_31,35,0.22304
,,00034.004880,D1_33,11,0.14616
,,00034.007520,D1_42,35,0.22952
,,00034.273600,D3_33,6,0.03184
,,00034.202160,D3_44,5,0.07192
,,00034.454080,A4_12,6,0.1292
,,00034.449120,A4_21,8,0.13096
,,00034.449680,A4_22,5,0.13208
,,00034.522080,B4_42,5,0.01008
,,00034.519680,B4_43,6,0.01504
,,00034.436000,A4_32,55,0.45152
,,00034.443120,A4_41,16,0.43472
,,00034.869840,A2_21,6,0.08248
,,00034.944800,A2_33,5,0.01096
,,00034.876720,A2_34,8,0.1052
,,00035.029200,D4_14,6,0.10416
,,00035.076400,D4_13,5,0.06
,,00034.904080,B6_14,5,0.03464
,,00035.121120,D4_34,8,0.0688
,,00035.135520,D4_42,24,0.11224
,,00035.119200,D4_43,23,0.13024
,,00035.125280,D4_32,42,0.12648
,,00035.314080,D4_14,12,0.21968
