Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,06674.316640,C1_12,9,0.08768
,,06674.316160,C1_13,26,0.1088
,,06674.314640,C1_22,5,0.08672
,,06674.308400,C1_23,40,0.12688
,,06674.304080,C1_33,37,0.15176
,,06674.307120,C1_34,18,0.13056
,,06674.313040,C1_32,5,0.08736
,,06674.300560,C1_43,33,0.12952
,,06674.290880,C1_44,15,0.13352
,,06676.393920,D4_14,10,0.0928
,,06676.696640,B5_21,5,0.01136
,,06677.172240,D3_21,5,0.0136
,,06677.755280,B6_33,6,0.02584
,,06679.052880,B5_21,8,0.02576
,,06680.781680,C1_21,6,0.08136
,,06680.783360,C1_31,8,0.09304
,,06680.787680,C1_11,23,0.08648
,,06680.783840,C1_12,11,0.0792
,,06680.783040,C1_13,23,0.09368
,,06680.779840,C1_22,6,0.08472
,,06680.775520,C1_23,41,0.12112
,,06680.771360,C1_33,37,0.12256
,,06680.762560,C1_43,34,0.12696
,,06680.755120,C1_44,14,0.12992
,,06680.778160,C1_42,5,0.098
,,06680.451440,D4_14,16,0.42824
,,06680.774000,C1_34,22,0.13312
,,06684.781040,D4_14,5,0.07664
,,06685.151760,D3_21,6,0.01208
,,06687.826000,B5_21,8,0.02632
,,06689.522800,D3_21,5,0.01016
,,06689.365360,D4_14,9,0.14352
,,06689.529280,B6_44,5,0.01712
,,06690.252800,C1_21,6,0.1336
,,06690.251520,C1_31,6,0.01416
,,06690.251440,C1_12,11,0.13776
,,06690.240480,C1_34,23,0.11544
,,06690.232000,C1_43,36,0.11776
,,06690.234320,C1_44,10,0.1136
,,06690.256320,C1_11,26,0.14512
,,06690.249360,C1_13,23,0.1692
,,06690.250960,C1_22,8,0.15728
,,06690.239680,C1_23,53,0.17648
,,06690.236960,C1_33,46,0.17976
,,06690.255840,C1_32,8,0.15256
,,06690.728720,C2_11,5,0.01464
,,06690.732400,C2_14,6,0.03088
,,06692.319440,B5_21,7,0.02448
,,06692.644640,D4_14,14,0.23792
,,06692.992640,D4_14,6,0.15944
,,06694.132640,B6_33,5,0.02752
,,06694.764720,D3_21,5,0.01024
,,06697.138960,C1_21,8,0.116
,,06697.139440,C1_31,5,0.08704
,,06697.143200,C1_11,30,0.1352
,,06697.139360,C1_12,10,0.13448
,,06697.138400,C1_13,28,0.14264
,,06697.129840,C1_23,51,0.15408
,,06697.125040,C1_33,36,0.13208
,,06697.130960,C1_34,22,0.1212
,,06697.137360,C1_32,8,0.11128
,,06697.120720,C1_43,31,0.13552
,,06697.119680,C1_44,15,0.132
,,06699.186560,D4_14,10,0.1248
,,06700.186400,B6_33,5,0.0244
